Artist name,URL,Popularity,Followers,Monthly Listeners
Giorginess,https://open.spotify.com/artist/4QYFjNac8XiU828KjV1oWA?si=hGZwLuNIRfygMryVgzNTIg,20,12441,7666
WISM,https://open.spotify.com/artist/3LXTbapp18J0PmQEPPeXmO?si=dGfo6UB2TZGKKoNa4STY1Q,29,471,33763
Funky Lemonade,https://open.spotify.com/artist/2ZlnbgF8wCIoj1iPy0SxPO?si=Zz30-HI2S1eBf9Hem_0zdQ,14,730,3139
filospada,https://open.spotify.com/artist/4xI4s9KJykpEAXSoWpP5zZ?si=UtB9BccMS92dhZ70Q04lyQ,15,579,4339
Nicolaj Serjotti,https://open.spotify.com/artist/6esxRpRlB73YqS63CDjss7?si=uJjoU53uQMKBacSuC2jvMQ,19,1921,9524
GIUMO,https://open.spotify.com/artist/661Jg7Cu9OBrUqG076gN90?si=jwxx6JumRTamx5obHbIVPg,27,1207,25797
Maggio,https://open.spotify.com/artist/7bykcg3a4exhrIgiffIR2Q?si=EQ5d_x96QcOemgbMVCEjlw,13,2693,3309
PAULO,https://open.spotify.com/artist/6ZyBrWgVAZXWCqTXTFaY5p?si=fhbGqB9ITLGvlyB7FeqheA,19,2392,8375
centomilacarie,https://open.spotify.com/artist/0SqAMjiB62nTuKn7DHctSa?si=v2Ae9pKcRBm2L2yQGi66yw,20,1335,9242
Memento,https://open.spotify.com/artist/0aLqxZ1Hht4j1C66IZ57oR?si=1hX-5BcQTUWoH5Jls9u73g,24,4288,19384
VV,https://open.spotify.com/artist/3Lx3LW1eYrkig48NsWAPdh?si=3tEfAoXcS_O_-tCwNy3ahw,24,3098,31403
Mazzariello,https://open.spotify.com/artist/2EvBrGxfXTPDSZLkYAeiO1?si=HXg49e5xS6yKie5Sf9sT1Q,30,3727,45197
Claudym,https://open.spotify.com/artist/7pNCSsicJGpwrn2wwGD91g?si=ztdHJkJASGKgNHUILtbmlA,15,2100,4178
Mandark,https://open.spotify.com/artist/0Y6B1fQJ0pFHBzYRRN8Bp6?si=dvWD3QEUR7uaGo0MvDI8Tw,16,3946,5518
Asteria,https://open.spotify.com/artist/02egj8t9vzqr5bWgMov3zq?si=jNvWa1VaSn-7hzI1VKzG4g,37,663,135085
Leslie,https://open.spotify.com/artist/6Qm77I2B1EVpRp0RWtjyj6?si=Iwq9fiTjTICfyIRD7hsigw,23,17744,10249
Popa,https://open.spotify.com/artist/3v3PilwftiZCpC4msQRNyB?si=2mnTCsm9SqGOJpoLNM_wJw,30,2510,53555
Planet Opal,https://open.spotify.com/artist/79u3gvhlSLQxzZNqn0voXp?si=Hidg9FeyQiqnlUopJql8vA,9,982,1384
Belize,https://open.spotify.com/artist/3b8bBMsmGoBd8gYn1pngNc?si=uoRlQpNeRACnBSqhDNTfWA,13,6715,5572
Dov'è Liana,https://open.spotify.com/artist/0iZfB56PLEsG9T03C2hjhK?si=rY8Z7tI0RdKWH32Yayy_UQ,35,8433,84873
Bruno Bellissimo,https://open.spotify.com/artist/5LExfPIVArSHdWN83U4STI?si=jWF4WbRVR9-rdaDf4VdYSg,24,6263,19907
EMMANUELLE,https://open.spotify.com/artist/1C2Gz0VQuVWtaLWd54ujI5?si=k41gbDrbSkqCSwWO5BFTBg,38,18992,168637
Club Domani,https://open.spotify.com/artist/0uZI4sqpl7jJQ19T7dcsM8?si=t5TVpbMNSbKlYNM0RzG8-A,24,1217,14352
Friz,https://open.spotify.com/artist/7fRCKUN8ER6gkIo2e3ea87?si=WCfCWnm9RoCz6eiNcWVq_g,2,161,146
K Beezy 28,https://open.spotify.com/artist/5SbWJnRRbZQU024VlOPWly?si=nPWZrzXkRhCihZyxuOjsiA,25,5218,13436
Febo,https://open.spotify.com/artist/5r8uzjd0OUbwigF0dz156v?si=V5NEEwonQbGIYYUjdrEmdw,17,212,174
christiannife,https://open.spotify.com/artist/2NYOgwHpoIPcS6H4WQs5XB?si=QVr46kKeSf-oHstRIQ1XKw,25,174,1663
In Arte Gianfreda,https://open.spotify.com/artist/0mZzaFxUW7qjzANM68beCQ?si=cTOUL_vIS4G_fWgYmcO1kw,10,156,966
Diorama,https://open.spotify.com/artist/1WdVEvZBCPA8BLV1WWWKlk?si=UrghiutBQ0iPOCqUh33P6g,15,881,6885
Federico Fabi,https://open.spotify.com/artist/34zevp3Tl9ACxr82FcXJ9u?si=0VmTYFHnQv6DzBSd0LKFBQ,10,1647,1419
SANTACHIARA,https://open.spotify.com/artist/5lQwH3yb4bvUNnFG5DXMRW?si=Zv7cwvIESeC4zJ_8Z1lPgw,33,6221,49146
COLLETTIVO,https://open.spotify.com/artist/4RUm8rTe3kvhiQl6QmpWBq?si=k1yBgb2YSSOHqFpEqRlGcw,21,613,7258
MIGLIO,https://open.spotify.com/artist/3hlMj1IgrGj38QOpyDVSj6?si=9p4wyV-2TLi3-kpQbLrL4g,14,726,1905
Mosè Cov,https://open.spotify.com/artist/3IWXtAGmcpbcdcbz5ychXs?si=NlK9X21hSP65Tfe0UhdOfw,15,3383,5452
Ticky B,https://open.spotify.com/artist/46hvAixyF8ZVEssLifxnHd?si=hJDwz1xEQVCm4OOf_gCwvg,38,7844,166100
Schianta,https://open.spotify.com/artist/5RuBmTwAQniQinysSScGmB?si=PVEBe311Q--WAJJTwPWYCg,5,286,852
Luca Land,https://open.spotify.com/artist/2jm1zVWOscdOBrRNhntmdp?si=MPBj2b-ER32cjOtvGmeA9w,6,238,1538
IL CAIRO,https://open.spotify.com/artist/0VWNxGPRS8P0C8biWDbPKw?si=df5Vff-cTtS45pAFkO2pWg,9,387,1931
Cleo,https://open.spotify.com/artist/0hrn9NVoYL7JIJASsYwODZ?si=HssH8mSHT5qMN9uJAosQqw,3,571,386
Samuele Stanco e i Gabbiani Malvagi,https://open.spotify.com/artist/13OTLSSmiVx2KbPqLGU95f?si=GbnrGVWFTD-oM12yGlw-wA,8,609,1119
Novelo,https://open.spotify.com/artist/1RHfl90nY7Ut10DMRcKjDa?si=yYiu3GNHQQWTD3nSDnHgiA,31,7744,51194
Beart,https://open.spotify.com/artist/2FVeYpAaDkIoK4z1IRjXF3?si=M32ry8hUTIecW8XV8ue-8Q,11,965,2042
LU,https://open.spotify.com/artist/33ZiBbteOVAAXrZ6HgB3aU?si=28dwdcsOQW-wX7cSVAYZzg,15,428,5130
DAM81,https://open.spotify.com/artist/3F6C11lp2Il4Ho68Ap0cvp?si=-qRk0tcFTZGUQ3l9tX_JeA,17,1264,3572
Troyamaki,https://open.spotify.com/artist/2sg19ijzUk1KsvKUs3YrxG?si=9wHt2X8uRXOPMi8pBPxFkA,26,1304,5198
Kappab,https://open.spotify.com/artist/3iy1JYAjijoFq3GyMPbAMx?si=NZ6PIVqHTui_XYMp1PQ5eQ,8,647,1015
Ofelia,https://open.spotify.com/artist/4AMX8kNDeM0GF5X9IK7ENV?si=Udp_309-QC-F9-YeaP4Pvg,1,151,128
Boreale,https://open.spotify.com/artist/4EteCyfdtWcMNo3LiCKtVk?si=hrdCjgu5QZmoj9kji9CZ7Q,19,2172,9926
TeMpEsTa,https://open.spotify.com/artist/4o9f6eM6ph8hi1QFE07xIm?si=vrUx9lu9SbaFBMA6fBQLOw,23,731,10593
Epoque,https://open.spotify.com/artist/5xNhapdkr2QQJoAkK9h67k?si=APPa7ymMQ6SRhagd7CwyHA,34,3912,76051
NIO,https://open.spotify.com/artist/6ezfB5USiV0QJLp9tHxbjU?si=mF4nt4ToSk2hQK_TE6NfVg,9,531,1726
Radio Trapani,https://open.spotify.com/artist/7rguH32iXoZLRbryffdX0Z?si=dZEXzSu2SDGKnkbBksVvbg,5,337,967
Bautista,https://open.spotify.com/artist/7uioiA7kBF425UCAdkgPXB?si=FPRs3QBTS9WOp6BDsIinxA,4,1529,869
